03-17 20:51:00: Training starting (120 envs)...
03-17 20:51:20: Checkpoint saved at episode 28900
03-17 20:51:27: Checkpoint saved at episode 29000
03-17 20:51:34: Checkpoint saved at episode 29100
03-17 20:51:37: Checkpoint saved at episode 29200
03-17 20:51:41: Checkpoint saved at episode 29300
03-17 20:51:46: Checkpoint saved at episode 29400
03-17 20:51:52: Checkpoint saved at episode 29500
03-17 20:51:56: Checkpoint saved at episode 29600
03-17 20:52:05: Checkpoint saved at episode 29700
03-17 20:52:14: Checkpoint saved at episode 29800
03-17 20:52:22: Checkpoint saved at episode 29900
03-17 20:52:30: Checkpoint saved at episode 30000
03-17 20:52:39: Checkpoint saved at episode 30100
03-17 20:52:47: Checkpoint saved at episode 30200
03-17 20:52:55: Checkpoint saved at episode 30300
03-17 20:53:02: Checkpoint saved at episode 30400
03-17 20:53:11: Checkpoint saved at episode 30500
03-17 20:53:18: Checkpoint saved at episode 30600
03-17 20:53:27: Checkpoint saved at episode 30700
03-17 20:53:37: Checkpoint saved at episode 30800
03-17 20:53:45: Checkpoint saved at episode 30900
03-17 20:53:54: Checkpoint saved at episode 31000
03-17 20:54:00: Checkpoint saved at episode 31100
03-17 20:54:08: Checkpoint saved at episode 31200
03-17 20:54:16: Checkpoint saved at episode 31300
03-17 20:54:24: Checkpoint saved at episode 31400
03-17 20:54:33: Checkpoint saved at episode 31500
03-17 20:54:43: Checkpoint saved at episode 31600
03-17 20:54:52: Checkpoint saved at episode 31700
03-17 20:55:02: Checkpoint saved at episode 31800
03-17 20:55:12: Checkpoint saved at episode 31900
03-17 20:55:23: Checkpoint saved at episode 32000
03-17 20:55:33: Checkpoint saved at episode 32100
03-17 20:55:44: Checkpoint saved at episode 32200
03-17 20:55:54: Checkpoint saved at episode 32300
03-17 20:56:04: Checkpoint saved at episode 32400
03-17 20:56:17: Checkpoint saved at episode 32500
03-17 20:56:29: Checkpoint saved at episode 32600
03-17 20:56:41: Checkpoint saved at episode 32700
03-17 20:56:52: Checkpoint saved at episode 32800
03-17 20:57:05: Checkpoint saved at episode 32900
03-17 20:57:17: Checkpoint saved at episode 33000
03-17 20:57:28: Checkpoint saved at episode 33100
03-17 20:57:40: Checkpoint saved at episode 33200
03-17 20:57:49: Checkpoint saved at episode 33300
03-17 20:58:01: Checkpoint saved at episode 33400
03-17 20:58:11: Checkpoint saved at episode 33500
03-17 20:58:21: Checkpoint saved at episode 33600
03-17 20:58:32: Checkpoint saved at episode 33700
03-17 20:58:43: Checkpoint saved at episode 33800
03-17 20:58:54: Checkpoint saved at episode 33900
03-17 20:59:03: Checkpoint saved at episode 34000
03-17 20:59:13: Checkpoint saved at episode 34100
03-17 20:59:23: Checkpoint saved at episode 34200
03-17 20:59:33: Checkpoint saved at episode 34300
03-17 20:59:43: Checkpoint saved at episode 34400
03-17 20:59:54: Checkpoint saved at episode 34500
03-17 21:00:07: Checkpoint saved at episode 34600
03-17 21:00:20: Checkpoint saved at episode 34700
03-17 21:00:31: Checkpoint saved at episode 34800
03-17 21:00:41: Checkpoint saved at episode 34900
03-17 21:00:51: Checkpoint saved at episode 35000
03-17 21:01:01: Checkpoint saved at episode 35100
03-17 21:01:11: Checkpoint saved at episode 35200
03-17 21:01:21: Checkpoint saved at episode 35300
03-17 21:01:31: Checkpoint saved at episode 35400
03-17 21:01:41: Checkpoint saved at episode 35500
03-17 21:01:51: Checkpoint saved at episode 35600
03-17 21:02:01: Checkpoint saved at episode 35700
03-17 21:02:12: Checkpoint saved at episode 35800
03-17 21:02:24: Checkpoint saved at episode 35900
03-17 21:02:35: Checkpoint saved at episode 36000
03-17 21:02:44: Checkpoint saved at episode 36100
03-17 21:02:55: Checkpoint saved at episode 36200
03-17 21:03:06: Checkpoint saved at episode 36300
03-17 21:03:15: Checkpoint saved at episode 36400
03-17 21:03:27: Checkpoint saved at episode 36500
03-17 21:03:37: Checkpoint saved at episode 36600
03-17 21:03:49: Checkpoint saved at episode 36700
03-17 21:04:00: Checkpoint saved at episode 36800
03-17 21:04:11: Checkpoint saved at episode 36900
03-17 21:04:22: Checkpoint saved at episode 37000
03-17 21:04:33: Checkpoint saved at episode 37100
03-17 21:04:44: Checkpoint saved at episode 37200
03-17 21:04:54: Checkpoint saved at episode 37300
03-17 21:05:04: Checkpoint saved at episode 37400
03-17 21:05:14: Checkpoint saved at episode 37500
03-17 21:05:25: Checkpoint saved at episode 37600
03-17 21:05:35: Checkpoint saved at episode 37700
03-17 21:05:47: Checkpoint saved at episode 37800
03-17 21:05:59: Checkpoint saved at episode 37900
03-17 21:06:09: Checkpoint saved at episode 38000
03-17 21:06:21: Checkpoint saved at episode 38100
03-17 21:06:34: Checkpoint saved at episode 38200
03-17 21:06:41: New best reward 2753.5 (+6.9%) at episode 38265, saving model...
03-17 21:06:44: Checkpoint saved at episode 38300
03-17 21:06:56: Checkpoint saved at episode 38400
03-17 21:07:06: Checkpoint saved at episode 38500
03-17 21:07:19: Checkpoint saved at episode 38600
03-17 21:07:30: Checkpoint saved at episode 38700
03-17 21:07:43: Checkpoint saved at episode 38800
03-17 21:07:55: Checkpoint saved at episode 38900
03-17 21:08:07: Checkpoint saved at episode 39000
03-17 21:08:17: Checkpoint saved at episode 39100
03-17 21:08:31: Checkpoint saved at episode 39200
03-17 21:08:44: Checkpoint saved at episode 39300
03-17 21:08:57: Checkpoint saved at episode 39400
03-17 21:09:11: Checkpoint saved at episode 39500
03-17 21:09:21: Checkpoint saved at episode 39600
03-17 21:09:34: Checkpoint saved at episode 39700
03-17 21:09:45: Checkpoint saved at episode 39800
03-17 21:09:57: Checkpoint saved at episode 39900
03-17 21:10:12: Checkpoint saved at episode 40000
03-17 21:10:23: Checkpoint saved at episode 40100
03-17 21:10:36: Checkpoint saved at episode 40200
03-17 21:10:50: Checkpoint saved at episode 40300
03-17 21:11:02: Checkpoint saved at episode 40400
03-17 21:11:14: Checkpoint saved at episode 40500
03-17 21:11:29: Checkpoint saved at episode 40600
03-17 21:11:42: Checkpoint saved at episode 40700
03-17 21:11:55: Checkpoint saved at episode 40800
03-17 21:12:07: Checkpoint saved at episode 40900
03-17 21:12:21: Checkpoint saved at episode 41000
03-17 21:12:33: Checkpoint saved at episode 41100
03-17 21:12:45: Checkpoint saved at episode 41200
03-17 21:12:58: Checkpoint saved at episode 41300
03-17 21:13:11: Checkpoint saved at episode 41400
03-17 21:13:24: Checkpoint saved at episode 41500
03-17 21:13:38: Checkpoint saved at episode 41600
03-17 21:13:53: Checkpoint saved at episode 41700
03-17 21:14:04: Checkpoint saved at episode 41800
03-17 21:14:17: Checkpoint saved at episode 41900
03-17 21:14:30: Checkpoint saved at episode 42000
03-17 21:14:42: Checkpoint saved at episode 42100
03-17 21:14:54: Checkpoint saved at episode 42200
03-17 21:15:07: Checkpoint saved at episode 42300
03-17 21:15:20: Checkpoint saved at episode 42400
03-17 21:15:31: Checkpoint saved at episode 42500
03-17 21:15:42: Checkpoint saved at episode 42600
03-17 21:15:53: Checkpoint saved at episode 42700
03-17 21:16:05: Checkpoint saved at episode 42800
03-17 21:16:18: Checkpoint saved at episode 42900
03-17 21:16:31: Checkpoint saved at episode 43000
03-17 21:16:43: Checkpoint saved at episode 43100
03-17 21:16:56: Checkpoint saved at episode 43200
03-17 21:17:06: Checkpoint saved at episode 43300
03-17 21:17:19: Checkpoint saved at episode 43400
03-17 21:17:33: Checkpoint saved at episode 43500
03-17 21:17:46: Checkpoint saved at episode 43600
03-17 21:17:58: Checkpoint saved at episode 43700
03-17 21:18:13: Checkpoint saved at episode 43800
03-17 21:18:27: Checkpoint saved at episode 43900
03-17 21:18:41: Checkpoint saved at episode 44000
03-17 21:18:53: Checkpoint saved at episode 44100
03-17 21:19:07: Checkpoint saved at episode 44200
03-17 21:19:21: Checkpoint saved at episode 44300
03-17 21:19:36: Checkpoint saved at episode 44400
03-17 21:19:48: Checkpoint saved at episode 44500
03-17 21:19:58: Checkpoint saved at episode 44600
03-17 21:20:13: Checkpoint saved at episode 44700
03-17 21:20:25: Checkpoint saved at episode 44800
03-17 21:20:36: Checkpoint saved at episode 44900
03-17 21:20:49: Checkpoint saved at episode 45000
03-17 21:21:02: Checkpoint saved at episode 45100
03-17 21:21:13: Checkpoint saved at episode 45200
03-17 21:21:25: Checkpoint saved at episode 45300
03-17 21:21:36: Checkpoint saved at episode 45400
03-17 21:21:49: Checkpoint saved at episode 45500
03-17 21:21:59: Checkpoint saved at episode 45600
03-17 21:22:12: Checkpoint saved at episode 45700
03-17 21:22:22: Checkpoint saved at episode 45800
03-17 21:22:35: Checkpoint saved at episode 45900
03-17 21:22:48: Checkpoint saved at episode 46000
03-17 21:23:03: Checkpoint saved at episode 46100
03-17 21:23:14: Checkpoint saved at episode 46200
03-17 21:23:28: Checkpoint saved at episode 46300
03-17 21:23:40: Checkpoint saved at episode 46400
03-17 21:23:55: Checkpoint saved at episode 46500
03-17 21:24:07: Checkpoint saved at episode 46600
03-17 21:24:24: Checkpoint saved at episode 46700
03-17 21:24:37: Checkpoint saved at episode 46800
03-17 21:24:48: Checkpoint saved at episode 46900
03-17 21:25:02: Checkpoint saved at episode 47000
03-17 21:25:16: Checkpoint saved at episode 47100
03-17 21:25:30: Checkpoint saved at episode 47200
03-17 21:25:47: Checkpoint saved at episode 47300
03-17 21:26:02: Checkpoint saved at episode 47400
03-17 21:26:08: New best reward 2771.9 (+0.7%) at episode 47449, saving model...
03-17 21:26:14: Checkpoint saved at episode 47500
03-17 21:26:32: Checkpoint saved at episode 47600
03-17 21:26:41: New best reward 3105.2 (+12.0%) at episode 47685, saving model...
03-17 21:26:43: Checkpoint saved at episode 47700
03-17 21:26:57: Checkpoint saved at episode 47800
03-17 21:27:13: Checkpoint saved at episode 47900
03-17 21:27:28: Checkpoint saved at episode 48000
03-17 21:27:42: Checkpoint saved at episode 48100
03-17 21:27:58: Checkpoint saved at episode 48200
03-17 21:28:13: Checkpoint saved at episode 48300
03-17 21:28:29: Checkpoint saved at episode 48400
03-17 21:28:45: Checkpoint saved at episode 48500
03-17 21:29:00: Checkpoint saved at episode 48600
03-17 21:29:14: Checkpoint saved at episode 48700
03-17 21:29:27: Checkpoint saved at episode 48800
03-17 21:29:43: Checkpoint saved at episode 48900
03-17 21:29:59: Checkpoint saved at episode 49000
03-17 21:30:14: Checkpoint saved at episode 49100
03-17 21:30:28: Checkpoint saved at episode 49200
03-17 21:30:47: Checkpoint saved at episode 49300
03-17 21:31:03: Checkpoint saved at episode 49400
03-17 21:31:15: Checkpoint saved at episode 49500
03-17 21:31:28: Checkpoint saved at episode 49600
03-17 21:31:44: Checkpoint saved at episode 49700
03-17 21:31:58: Checkpoint saved at episode 49800
03-17 21:32:10: Checkpoint saved at episode 49900
03-17 21:32:23: Checkpoint saved at episode 50000
03-17 21:32:40: Checkpoint saved at episode 50100
03-17 21:32:54: Checkpoint saved at episode 50200
03-17 21:33:10: Checkpoint saved at episode 50300
03-17 21:33:24: Checkpoint saved at episode 50400
03-17 21:33:40: Checkpoint saved at episode 50500
03-17 21:33:54: Checkpoint saved at episode 50600
03-17 21:34:08: Checkpoint saved at episode 50700
03-17 21:34:24: Checkpoint saved at episode 50800
03-17 21:34:37: Checkpoint saved at episode 50900
03-17 21:34:51: Checkpoint saved at episode 51000
03-17 21:35:07: Checkpoint saved at episode 51100
03-17 21:35:25: Checkpoint saved at episode 51200
03-17 21:35:38: Checkpoint saved at episode 51300
03-17 21:35:56: Checkpoint saved at episode 51400
03-17 21:36:09: Checkpoint saved at episode 51500
03-17 21:36:24: Checkpoint saved at episode 51600
03-17 21:36:39: Checkpoint saved at episode 51700
03-17 21:36:53: Checkpoint saved at episode 51800
03-17 21:37:05: Checkpoint saved at episode 51900
03-17 21:37:17: Checkpoint saved at episode 52000
03-17 21:37:29: Checkpoint saved at episode 52100
03-17 21:37:44: Checkpoint saved at episode 52200
03-17 21:38:00: Checkpoint saved at episode 52300
03-17 21:38:14: Checkpoint saved at episode 52400
03-17 21:38:27: Checkpoint saved at episode 52500
03-17 21:38:40: Checkpoint saved at episode 52600
03-17 21:38:54: Checkpoint saved at episode 52700
03-17 21:39:04: Checkpoint saved at episode 52800
03-17 21:39:19: Checkpoint saved at episode 52900
03-17 21:39:29: Checkpoint saved at episode 53000
03-17 21:39:41: Checkpoint saved at episode 53100
03-17 21:39:56: Checkpoint saved at episode 53200
03-17 21:40:09: Checkpoint saved at episode 53300
03-17 21:40:22: Checkpoint saved at episode 53400
03-17 21:40:34: Checkpoint saved at episode 53500
03-17 21:40:44: Checkpoint saved at episode 53600
03-17 21:40:56: Checkpoint saved at episode 53700
03-17 21:41:08: Checkpoint saved at episode 53800
03-17 21:41:19: Checkpoint saved at episode 53900
03-17 21:41:30: Checkpoint saved at episode 54000
03-17 21:41:42: Checkpoint saved at episode 54100
03-17 21:41:56: Checkpoint saved at episode 54200
03-17 21:42:07: Checkpoint saved at episode 54300
03-17 21:42:20: Checkpoint saved at episode 54400
03-17 21:42:32: Checkpoint saved at episode 54500
03-17 21:42:43: Checkpoint saved at episode 54600
03-17 21:42:55: Checkpoint saved at episode 54700
03-17 21:43:08: Checkpoint saved at episode 54800
03-17 21:43:20: Checkpoint saved at episode 54900
03-17 21:43:32: Checkpoint saved at episode 55000
03-17 21:43:46: Checkpoint saved at episode 55100
03-17 21:43:59: Checkpoint saved at episode 55200
03-17 21:44:13: Checkpoint saved at episode 55300
03-17 21:44:26: Checkpoint saved at episode 55400
03-17 21:44:40: Checkpoint saved at episode 55500
03-17 21:44:52: Checkpoint saved at episode 55600
03-17 21:45:07: Checkpoint saved at episode 55700
03-17 21:45:23: Checkpoint saved at episode 55800
03-17 21:45:37: Checkpoint saved at episode 55900
03-17 21:45:49: Checkpoint saved at episode 56000
03-17 21:46:01: Checkpoint saved at episode 56100
03-17 21:46:16: Checkpoint saved at episode 56200
03-17 21:46:29: Checkpoint saved at episode 56300
03-17 21:46:40: Checkpoint saved at episode 56400
03-17 21:46:50: Checkpoint saved at episode 56500
03-17 21:47:02: Checkpoint saved at episode 56600
03-17 21:47:14: Checkpoint saved at episode 56700
03-17 21:47:26: Checkpoint saved at episode 56800
03-17 21:47:40: Checkpoint saved at episode 56900
03-17 21:47:53: Checkpoint saved at episode 57000
03-17 21:48:10: Checkpoint saved at episode 57100
03-17 21:48:24: Checkpoint saved at episode 57200
03-17 21:48:37: Checkpoint saved at episode 57300
03-17 21:48:52: Checkpoint saved at episode 57400
03-17 21:49:08: Checkpoint saved at episode 57500
03-17 21:49:20: Checkpoint saved at episode 57600
03-17 21:49:36: Checkpoint saved at episode 57700
03-17 21:49:51: Checkpoint saved at episode 57800
03-17 21:50:11: Checkpoint saved at episode 57900
03-17 21:50:28: Checkpoint saved at episode 58000
03-17 21:50:47: Checkpoint saved at episode 58100
03-17 21:51:00: Checkpoint saved at episode 58200
03-17 21:51:14: Checkpoint saved at episode 58300
03-17 21:51:25: Checkpoint saved at episode 58400
03-17 21:51:41: Checkpoint saved at episode 58500
03-17 21:51:53: Checkpoint saved at episode 58600
03-17 21:52:05: Checkpoint saved at episode 58700
03-17 21:52:20: Checkpoint saved at episode 58800
03-17 21:52:33: Checkpoint saved at episode 58900
03-17 21:52:45: Checkpoint saved at episode 59000
03-17 21:52:57: Checkpoint saved at episode 59100
03-17 21:53:09: Checkpoint saved at episode 59200
03-17 21:53:23: Checkpoint saved at episode 59300
03-17 21:53:35: Checkpoint saved at episode 59400
03-17 21:53:48: Checkpoint saved at episode 59500
03-17 21:54:02: Checkpoint saved at episode 59600
03-17 21:54:15: Checkpoint saved at episode 59700
03-17 21:54:28: Checkpoint saved at episode 59800
03-17 21:54:42: Checkpoint saved at episode 59900
03-17 21:54:56: Checkpoint saved at episode 60000
03-17 21:55:09: Checkpoint saved at episode 60100
03-17 21:55:20: Checkpoint saved at episode 60200
03-17 21:55:32: Checkpoint saved at episode 60300
03-17 21:55:45: Checkpoint saved at episode 60400
03-17 21:56:01: Checkpoint saved at episode 60500
03-17 21:56:15: Checkpoint saved at episode 60600
03-17 21:56:27: Checkpoint saved at episode 60700
03-17 21:56:40: Checkpoint saved at episode 60800
03-17 21:56:54: Checkpoint saved at episode 60900
03-17 21:57:09: Checkpoint saved at episode 61000
03-17 21:57:23: Checkpoint saved at episode 61100
03-17 21:57:36: Checkpoint saved at episode 61200
03-17 21:57:51: Checkpoint saved at episode 61300
03-17 21:58:05: Checkpoint saved at episode 61400
03-17 21:58:19: Checkpoint saved at episode 61500
03-17 21:58:32: Checkpoint saved at episode 61600
03-17 21:58:45: Checkpoint saved at episode 61700
03-17 21:58:57: Checkpoint saved at episode 61800
03-17 21:59:07: Checkpoint saved at episode 61900
03-17 21:59:22: Checkpoint saved at episode 62000
03-17 21:59:35: Checkpoint saved at episode 62100
03-17 21:59:46: Checkpoint saved at episode 62200
03-17 22:00:01: Checkpoint saved at episode 62300
03-17 22:00:13: Checkpoint saved at episode 62400
03-17 22:00:24: Checkpoint saved at episode 62500
03-17 22:00:36: Checkpoint saved at episode 62600
03-17 22:00:51: Checkpoint saved at episode 62700
03-17 22:01:03: Checkpoint saved at episode 62800
03-17 22:01:17: Checkpoint saved at episode 62900
03-17 22:01:31: Checkpoint saved at episode 63000
03-17 22:01:44: Checkpoint saved at episode 63100
03-17 22:01:58: Checkpoint saved at episode 63200
03-17 22:02:13: Checkpoint saved at episode 63300
03-17 22:02:26: Checkpoint saved at episode 63400
03-17 22:02:40: Checkpoint saved at episode 63500
03-17 22:02:56: Checkpoint saved at episode 63600
03-17 22:03:12: Checkpoint saved at episode 63700
03-17 22:03:25: Checkpoint saved at episode 63800
03-17 22:03:38: Checkpoint saved at episode 63900
03-17 22:03:52: Checkpoint saved at episode 64000
03-17 22:04:06: Checkpoint saved at episode 64100
03-17 22:04:20: Checkpoint saved at episode 64200
03-17 22:04:34: Checkpoint saved at episode 64300
03-17 22:04:48: Checkpoint saved at episode 64400
03-17 22:05:03: Checkpoint saved at episode 64500
03-17 22:05:16: Checkpoint saved at episode 64600
03-17 22:05:30: Checkpoint saved at episode 64700
03-17 22:05:45: Checkpoint saved at episode 64800
03-17 22:06:00: Checkpoint saved at episode 64900
03-17 22:06:09: New best reward 4613.0 (+48.6%) at episode 64962, saving model...
03-17 22:06:14: Checkpoint saved at episode 65000
03-17 22:06:28: Checkpoint saved at episode 65100
03-17 22:06:42: Checkpoint saved at episode 65200
03-17 22:06:54: Checkpoint saved at episode 65300
03-17 22:07:04: Checkpoint saved at episode 65400
03-17 22:07:18: Checkpoint saved at episode 65500
