02-19 12:57:37: Training starting...
02-19 12:57:37: New best reward 1.6 (+nan%) at episode 0, saving model...
02-19 12:57:37: New best reward 14.8 (+812.5%) at episode 1, saving model...
02-19 12:57:45: New best reward 20.5 (+38.7%) at episode 70, saving model...
02-19 12:58:12: New best reward 26.1 (+27.2%) at episode 261, saving model...
02-19 12:58:21: New best reward 29.5 (+13.2%) at episode 329, saving model...
02-19 12:58:45: New best reward 34.3 (+16.1%) at episode 489, saving model...
02-19 12:59:33: New best reward 36.0 (+5.2%) at episode 767, saving model...
02-19 12:59:49: New best reward 41.3 (+14.6%) at episode 861, saving model...
02-19 12:59:58: New best reward 44.1 (+6.9%) at episode 903, saving model...
02-19 13:00:02: New best reward 48.5 (+9.8%) at episode 923, saving model...
02-19 13:00:18: New best reward 54.5 (+12.4%) at episode 1008, saving model...
02-19 13:00:22: New best reward 70.4 (+29.1%) at episode 1024, saving model...
02-19 13:02:29: New best reward 72.3 (+2.7%) at episode 1497, saving model...
02-19 13:03:25: New best reward 132.1 (+82.8%) at episode 1693, saving model...
02-19 13:08:28: New best reward 136.7 (+3.5%) at episode 2665, saving model...
02-19 13:10:00: New best reward 150.6 (+10.2%) at episode 2889, saving model...
02-19 13:12:15: New best reward 154.3 (+2.4%) at episode 3110, saving model...
02-19 13:12:20: New best reward 172.6 (+11.9%) at episode 3119, saving model...
02-19 13:13:41: New best reward 209.4 (+21.3%) at episode 3247, saving model...
02-19 13:14:25: New best reward 210.7 (+0.6%) at episode 3314, saving model...
02-19 13:16:15: New best reward 221.8 (+5.3%) at episode 3465, saving model...
02-19 13:16:42: New best reward 381.2 (+71.9%) at episode 3494, saving model...
02-19 13:29:45: New best reward 397.7 (+4.3%) at episode 4273, saving model...
02-19 13:34:31: New best reward 478.3 (+20.3%) at episode 4487, saving model...
02-19 13:45:11: New best reward 581.1 (+21.5%) at episode 4937, saving model...
02-19 13:47:57: New best reward 685.3 (+17.9%) at episode 5036, saving model...
02-19 14:08:50: New best reward 986.0 (+43.9%) at episode 5760, saving model...
02-19 15:43:41: New best reward 1245.6 (+26.3%) at episode 8345, saving model...
02-19 15:49:17: New best reward 1571.6 (+26.2%) at episode 8447, saving model...
02-19 18:22:06: New best reward 1719.5 (+9.4%) at episode 11771, saving model...
02-19 18:49:28: New best reward 1886.7 (+9.7%) at episode 12335, saving model...
02-19 18:53:37: New best reward 1922.0 (+1.9%) at episode 12391, saving model...
02-19 19:57:53: New best reward 2178.5 (+13.3%) at episode 13740, saving model...
02-19 21:06:27: New best reward 2346.3 (+7.7%) at episode 15012, saving model...
02-19 23:01:47: New best reward 2543.7 (+8.4%) at episode 17239, saving model...
02-19 23:42:14: New best reward 2659.8 (+4.6%) at episode 17971, saving model...
02-20 04:21:00: New best reward 2859.5 (+7.5%) at episode 22603, saving model...
02-20 04:44:33: New best reward 2953.6 (+3.3%) at episode 22954, saving model...
02-20 05:45:50: New best reward 3109.3 (+5.3%) at episode 23961, saving model...
02-20 06:59:11: New best reward 3422.2 (+10.1%) at episode 25178, saving model...
02-20 10:36:16: New best reward 3979.3 (+16.3%) at episode 29301, saving model...
